epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.16481,3.95466,4.73759,2.0076,0,0,0,0,3.10268,4.35855,1.82665,0.000208333,0.000208333,0.000208333
2,13.7645,3.50246,4.4496,1.79494,0.00023,0.0051,4e-05,2e-05,2.79447,4.21602,1.49456,0.000618813,0.000618813,0.000618813
3,20.2566,3.01108,4.27947,1.57104,0.00023,0.0051,4e-05,2e-05,2.79447,4.21602,1.49456,0.00102104,0.00102104,0.00102104
4,26.3063,2.84369,3.93211,1.46448,0.00129,0.01493,0.0029,0.00072,3.16305,4.21968,1.73755,0.00121287,0.00121287,0.00121287
5,32.3549,2.90557,3.64333,1.38715,0.00129,0.01493,0.0029,0.00072,3.16305,4.21968,1.73755,0.0012005,0.0012005,0.0012005
6,38.3426,2.79481,3.2947,1.39398,0.00049,0.00373,6e-05,1e-05,2.74803,4.13167,1.75834,0.00118812,0.00118812,0.00118812
7,44.2207,2.64356,3.08517,1.35273,0.00049,0.00373,6e-05,1e-05,2.74803,4.13167,1.75834,0.00117575,0.00117575,0.00117575
8,50.1185,2.82295,2.83978,1.35577,0.00541,0.03731,0.0023,0.00054,2.50274,4.04171,1.61134,0.00116337,0.00116337,0.00116337
9,56.0064,2.64874,2.60116,1.32416,0.00541,0.03731,0.0023,0.00054,2.50274,4.04171,1.61134,0.001151,0.001151,0.001151
10,61.9375,2.49619,2.7557,1.2919,0.00871,0.07732,0.00386,0.00112,2.37424,3.86329,1.57761,0.00113863,0.00113863,0.00113863
11,68.0402,2.62695,2.60728,1.29061,0.00871,0.07732,0.00386,0.00112,2.37424,3.86329,1.57761,0.00112625,0.00112625,0.00112625
12,74.4764,2.54494,2.43209,1.28962,0.01963,0.15332,0.03358,0.01033,2.33016,3.76726,1.56021,0.00111388,0.00111388,0.00111388
13,80.6468,2.35058,2.28098,1.25787,0.01963,0.15332,0.03358,0.01033,2.33016,3.76726,1.56021,0.0011015,0.0011015,0.0011015
14,86.917,2.34783,2.22895,1.20449,0.02489,0.16928,0.04838,0.01373,2.23873,3.61072,1.47367,0.00108913,0.00108913,0.00108913
15,93.1787,2.25307,2.0523,1.215,0.02489,0.16928,0.04838,0.01373,2.23873,3.61072,1.47367,0.00107675,0.00107675,0.00107675
16,99.2331,2.27057,2.15156,1.23053,0.02527,0.21121,0.06259,0.01886,2.36328,3.51916,1.42807,0.00106437,0.00106437,0.00106437
17,105.357,2.23541,2.07711,1.22672,0.02527,0.21121,0.06259,0.01886,2.36328,3.51916,1.42807,0.001052,0.001052,0.001052
18,111.344,2.16229,2.0216,1.2225,0.02632,0.29953,0.0892,0.02853,2.22674,3.40855,1.37524,0.00103962,0.00103962,0.00103962
