epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.44228,2.37581,3.14078,1.43647,0.00829,0.18461,0.01776,0.0062,2.12342,3.76769,1.39807,0.000460968,0.000460968,0.000460968
2,11.1332,1.91264,1.4656,1.17057,0.03022,0.63788,0.16491,0.07457,1.71634,3.07619,1.13197,0.00090637,0.00090637,0.00090637
3,15.6952,1.67384,1.2017,1.07488,0.7394,0.46852,0.57233,0.33347,1.78227,1.87266,1.09918,0.00132033,0.00132033,0.00132033
4,20.2119,1.60042,1.11238,1.04404,0.75457,0.78624,0.83934,0.51388,1.3081,1.1386,0.99217,0.00128753,0.00128753,0.00128753
5,24.6812,1.49172,1.01546,1.00592,0.73164,0.83839,0.82738,0.51591,1.22523,1.02267,0.97138,0.00124037,0.00124037,0.00124037
6,29.1824,1.4321,0.97664,0.99287,0.85036,0.82548,0.895,0.59224,1.10147,0.90778,0.95525,0.00119322,0.00119322,0.00119322
7,33.712,1.3629,0.9141,0.96591,0.85965,0.8512,0.90577,0.60567,1.04096,0.80789,0.94374,0.00114606,0.00114606,0.00114606
8,38.1909,1.32375,0.8754,0.95917,0.86881,0.86249,0.91467,0.62424,1.01331,0.79218,0.92135,0.0010989,0.0010989,0.0010989
9,42.7513,1.31899,0.8618,0.95302,0.90944,0.86947,0.92905,0.61608,1.11792,0.7512,0.92885,0.00105174,0.00105174,0.00105174
10,47.2486,1.33316,0.85486,0.9408,0.90926,0.85389,0.93434,0.65768,0.94984,0.72397,0.91677,0.00100459,0.00100459,0.00100459
11,51.7703,1.26137,0.82527,0.93288,0.86674,0.86921,0.9181,0.6161,1.02493,0.76044,0.91699,0.00095743,0.00095743,0.00095743
12,56.2269,1.28517,0.83177,0.92735,0.86349,0.86467,0.92114,0.64771,0.96077,0.72899,0.90879,0.000910273,0.000910273,0.000910273
13,60.6837,1.2702,0.8151,0.93481,0.89893,0.85304,0.93273,0.67483,0.91255,0.71207,0.89903,0.000863116,0.000863116,0.000863116
14,65.1961,1.24746,0.79485,0.912,0.87085,0.87049,0.93361,0.66101,0.93519,0.7015,0.91219,0.000815959,0.000815959,0.000815959
15,69.6921,1.24002,0.78646,0.91346,0.90528,0.87932,0.93274,0.65785,0.92516,0.67243,0.88866,0.000768802,0.000768802,0.000768802
16,74.1245,1.2319,0.77087,0.90803,0.89557,0.87862,0.94042,0.67777,0.88311,0.66124,0.892,0.000721645,0.000721645,0.000721645
17,78.6109,1.17614,0.75048,0.90656,0.908,0.89049,0.94658,0.68908,0.8728,0.66856,0.88526,0.000674488,0.000674488,0.000674488
18,83.0632,1.14712,0.74063,0.90296,0.90901,0.87465,0.93858,0.68648,0.88626,0.65969,0.88826,0.000627331,0.000627331,0.000627331
19,87.5681,1.16962,0.74659,0.89665,0.90987,0.87762,0.93712,0.69138,0.86299,0.64555,0.88216,0.000580174,0.000580174,0.000580174
20,92.0768,1.16854,0.73717,0.8974,0.90944,0.87615,0.93884,0.67404,0.91025,0.64652,0.88142,0.000533017,0.000533017,0.000533017
21,104.042,1.12031,0.77838,0.90096,0.86006,0.87899,0.92352,0.6738,0.88018,0.72063,0.88759,0.00048586,0.00048586,0.00048586
22,108.295,1.08347,0.7339,0.89276,0.9039,0.87679,0.93677,0.69552,0.85059,0.64675,0.87968,0.000438703,0.000438703,0.000438703
23,112.561,1.08225,0.70891,0.88632,0.92526,0.88033,0.94392,0.69098,0.88368,0.63881,0.8853,0.000391546,0.000391546,0.000391546
24,116.783,1.0678,0.70546,0.88127,0.91769,0.88304,0.94421,0.71043,0.82958,0.62502,0.87551,0.000344389,0.000344389,0.000344389
25,121.046,1.04656,0.69336,0.87728,0.91044,0.88787,0.94048,0.7006,0.82562,0.61394,0.87266,0.000297232,0.000297232,0.000297232
26,125.287,1.03176,0.68277,0.87555,0.93926,0.89009,0.95202,0.71747,0.80048,0.60298,0.86635,0.000250075,0.000250075,0.000250075
27,129.583,1.00617,0.67324,0.86945,0.93044,0.888,0.95088,0.70861,0.80655,0.60612,0.86665,0.000202918,0.000202918,0.000202918
28,133.786,1.03009,0.67888,0.87568,0.91886,0.89035,0.94707,0.72188,0.80135,0.60345,0.86638,0.000155761,0.000155761,0.000155761
29,138.057,1.02193,0.67715,0.87135,0.93027,0.88721,0.9461,0.71723,0.79324,0.59919,0.86487,0.000108604,0.000108604,0.000108604
30,142.293,0.99575,0.65711,0.86695,0.94218,0.88908,0.95384,0.73347,0.77026,0.58384,0.86215,6.1447e-05,6.1447e-05,6.1447e-05
