epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.88597,2.37931,3.14955,1.43372,0.00583,0.11817,0.00846,0.00414,2.18055,3.73905,1.39353,0.000460968,0.000460968,0.000460968
2,9.81946,1.87737,1.44897,1.1635,0.02869,0.58772,0.12932,0.05708,1.73183,3.055,1.15047,0.00090637,0.00090637,0.00090637
3,14.456,1.63926,1.17186,1.06669,0.62386,0.56996,0.60374,0.34418,1.66285,1.72335,1.05467,0.00132033,0.00132033,0.00132033
4,19.4308,1.55963,1.08924,1.03614,0.72773,0.78872,0.8334,0.51569,1.33977,1.24369,1.00673,0.00128753,0.00128753,0.00128753
5,23.901,1.46611,0.99807,1.00492,0.78536,0.79074,0.84742,0.55181,1.21707,0.99935,0.98393,0.00124037,0.00124037,0.00124037
6,28.3912,1.41136,0.95863,0.985,0.86756,0.79591,0.8911,0.59327,1.08728,0.94811,0.95642,0.00119322,0.00119322,0.00119322
7,33.0055,1.36056,0.9111,0.9644,0.84542,0.84283,0.90366,0.59298,1.12885,0.84492,0.94336,0.00114606,0.00114606,0.00114606
8,37.4827,1.32465,0.87519,0.95809,0.83637,0.84043,0.90134,0.58601,1.13275,0.81682,0.95387,0.0010989,0.0010989,0.0010989
9,41.9512,1.29423,0.85816,0.95109,0.87879,0.83606,0.91486,0.6387,1.02227,0.76036,0.92118,0.00105174,0.00105174,0.00105174
10,46.4464,1.30489,0.8431,0.93326,0.91561,0.83694,0.92315,0.65206,0.95822,0.7347,0.91327,0.00100459,0.00100459,0.00100459
11,50.9629,1.2475,0.81812,0.92594,0.85471,0.87376,0.92254,0.65029,0.94387,0.73845,0.90787,0.00095743,0.00095743,0.00095743
12,55.4401,1.27111,0.81447,0.9199,0.84723,0.8463,0.89725,0.63485,0.92643,0.71746,0.91278,0.000910273,0.000910273,0.000910273
13,59.9308,1.25792,0.80548,0.92972,0.88767,0.85815,0.9249,0.6685,0.89394,0.70168,0.89992,0.000863116,0.000863116,0.000863116
14,64.4357,1.22581,0.78445,0.9042,0.90232,0.87664,0.9325,0.67107,0.89511,0.67505,0.89543,0.000815959,0.000815959,0.000815959
15,68.9683,1.21726,0.77323,0.9045,0.92615,0.87282,0.93043,0.64616,0.96907,0.68605,0.8933,0.000768802,0.000768802,0.000768802
16,73.4603,1.24247,0.77455,0.90792,0.92536,0.85241,0.94053,0.68531,0.894,0.65783,0.88868,0.000721645,0.000721645,0.000721645
17,77.9527,1.16262,0.74999,0.9048,0.89915,0.88425,0.94202,0.68454,0.87876,0.67437,0.89032,0.000674488,0.000674488,0.000674488
18,82.3991,1.14598,0.7348,0.89877,0.90501,0.87291,0.9412,0.67957,0.90817,0.66497,0.88714,0.000627331,0.000627331,0.000627331
19,86.99,1.15328,0.73788,0.89101,0.9022,0.87456,0.93669,0.69873,0.84798,0.64812,0.87756,0.000580174,0.000580174,0.000580174
20,91.4835,1.13799,0.7255,0.89192,0.90542,0.87865,0.93685,0.68011,0.87172,0.64391,0.88121,0.000533017,0.000533017,0.000533017
21,103.445,1.09634,0.76346,0.89595,0.90222,0.87571,0.9402,0.6806,0.88513,0.70475,0.8853,0.00048586,0.00048586,0.00048586
22,107.766,1.08137,0.73182,0.89117,0.9228,0.87362,0.93713,0.6864,0.8825,0.6571,0.87807,0.000438703,0.000438703,0.000438703
23,112.023,1.08305,0.70823,0.88358,0.91916,0.88479,0.9401,0.69148,0.86026,0.64146,0.88079,0.000391546,0.000391546,0.000391546
24,116.273,1.04045,0.69482,0.87688,0.90819,0.89209,0.9474,0.70142,0.82317,0.62496,0.87269,0.000344389,0.000344389,0.000344389
25,120.585,1.02517,0.68901,0.87302,0.91313,0.88802,0.94081,0.704,0.81738,0.60879,0.8699,0.000297232,0.000297232,0.000297232
26,124.882,1.02122,0.68127,0.87338,0.9372,0.88553,0.94966,0.71222,0.8195,0.61433,0.87052,0.000250075,0.000250075,0.000250075
27,129.316,0.99876,0.67109,0.86765,0.92787,0.88815,0.9523,0.70404,0.8154,0.61243,0.8662,0.000202918,0.000202918,0.000202918
28,133.669,1.01637,0.67563,0.87214,0.92626,0.8813,0.94768,0.7126,0.80754,0.60368,0.8648,0.000155761,0.000155761,0.000155761
29,138.155,1.00388,0.67177,0.86889,0.94254,0.8855,0.94989,0.72048,0.78919,0.59726,0.86575,0.000108604,0.000108604,0.000108604
30,142.677,0.98287,0.6514,0.86476,0.93667,0.88731,0.95219,0.72829,0.77362,0.58934,0.8599,6.1447e-05,6.1447e-05,6.1447e-05
