epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.68905,2.37581,3.14078,1.43647,0.00829,0.18461,0.01776,0.0062,2.12342,3.76769,1.39807,0.000460968,0.000460968,0.000460968
2,11.6658,1.91118,1.4657,1.17028,0.02482,0.52155,0.27215,0.1578,1.7454,3.09379,1.13996,0.000931115,0.000931115,0.000931115
3,16.7536,1.67657,1.19676,1.07598,0.7293,0.37832,0.55103,0.32288,1.84714,2.02391,1.12109,0.00139497,0.00139497,0.00139497
4,21.9273,1.61079,1.11522,1.05464,0.72744,0.78169,0.7769,0.46903,1.37454,1.21657,0.99305,0.00140071,0.00140071,0.00140071
5,26.8141,1.50866,1.01677,1.00688,0.77709,0.82819,0.87563,0.55291,1.19838,0.9693,0.98106,0.00139127,0.00139127,0.00139127
6,32.4431,1.43921,0.97301,0.99882,0.86339,0.83064,0.88894,0.58485,1.14454,0.94729,0.98234,0.00138184,0.00138184,0.00138184
7,37.463,1.3934,0.91907,0.97234,0.88066,0.85552,0.91307,0.59952,1.11468,0.81865,0.95262,0.00137241,0.00137241,0.00137241
8,42.2198,1.3562,0.87988,0.96321,0.85635,0.83957,0.89982,0.62015,1.05289,0.79059,0.92289,0.00136298,0.00136298,0.00136298
9,47.0416,1.31825,0.85875,0.9519,0.886,0.85908,0.91858,0.62349,1.03958,0.7827,0.91341,0.00135355,0.00135355,0.00135355
10,51.9939,1.33409,0.84934,0.93672,0.88019,0.84412,0.9005,0.62868,0.98636,0.75352,0.91853,0.00134412,0.00134412,0.00134412
11,56.8536,1.27676,0.81965,0.92946,0.84918,0.86272,0.90299,0.60297,1.05939,0.76391,0.91664,0.00133469,0.00133469,0.00133469
12,61.6494,1.32364,0.83488,0.92668,0.84133,0.85999,0.91545,0.62725,0.99192,0.72263,0.9108,0.00132525,0.00132525,0.00132525
13,66.7406,1.30713,0.81414,0.93289,0.90436,0.84745,0.92895,0.65327,0.94491,0.70805,0.90631,0.00131582,0.00131582,0.00131582
14,71.6097,1.28832,0.8075,0.91365,0.88434,0.86989,0.92186,0.63274,0.96129,0.69181,0.89384,0.00130639,0.00130639,0.00130639
15,76.3994,1.24068,0.77897,0.90803,0.94056,0.85846,0.94486,0.67624,0.90522,0.66583,0.89754,0.00129696,0.00129696,0.00129696
16,81.28,1.24301,0.76692,0.91298,0.89721,0.87976,0.93502,0.66105,0.9492,0.67746,0.90277,0.00128753,0.00128753,0.00128753
17,85.7448,1.2215,0.76197,0.9124,0.90376,0.89619,0.94114,0.68013,0.90284,0.65833,0.89089,0.0012781,0.0012781,0.0012781
18,90.3355,1.17425,0.73935,0.9056,0.905,0.86485,0.93033,0.66086,0.91729,0.66334,0.89683,0.00126867,0.00126867,0.00126867
19,95.184,1.20383,0.75359,0.89923,0.91277,0.86538,0.93391,0.66663,0.91941,0.65715,0.88771,0.00125923,0.00125923,0.00125923
20,99.912,1.21164,0.74645,0.89725,0.88178,0.89115,0.92995,0.65824,0.95817,0.67543,0.88602,0.0012498,0.0012498,0.0012498
21,104.619,1.17972,0.72375,0.8979,0.90389,0.88584,0.93542,0.69918,0.83653,0.61321,0.88242,0.00124037,0.00124037,0.00124037
